Year,Siachen,Hoksar,Kolahoi,Shishram,Nehnar,Pensilungpa,Durung Drung,Stok,Rulung,Phuche,Khardung,Patsio,Gepang Gath,Samudra Tapu,Hamtah,Chhota Shigri,Bara Shigri,Batal,Sutri Dhaka,Gara,Gor Garang,Shaune Garang,Naradu,Dokriani,Chorabari,Satopanth,Tipra Bamak,Dunagiri,Naimona Nyi,Rikha Samba,Yala,Kangwure,Trakarding-Trambau,AX010,Changri Nup,Pokalde,Mera,Changme Khangpu,Gangju La,Thana,Urumqi Glacier No. 1,Ts. Tuyuksuyskiy,Golubin,Gregoriev,Kaindy,Sary-Tor,Southern Inylchek,Turgen-Aksuu,Kara Batkak,No 131,Abramov,Batysh Sook,Glacier No. 354,Glacier No. 599,Bordu,Davidov,Barkrak Sredniy,Dikhadang No 314,East Zulmart No 139,Glacier No 71 Yakarcha,No 457,No 676,Parlung Glacier No. 94,Muztag Ata Glacier No 15
1957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,,,,,,,-0.031,,,,,,,,,,,,,,,
1958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,0.062,,,,,,,,,,,,,,,
1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.087,-0.42,,,,,,,-0.344,,,,,,,,,,,,,,,
1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.188,-0.1,,,,,,,-0.291,,,,,,,,,,,,,,,
1961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033,-0.56,,,,,,,-0.806,,,,,,,,,,,,,,,
1962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.167,-0.69,,,,,,,-0.086,,,,,,,,,,,,,,,
1963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234,0.44,,,,,,,-0.04,,,,,,,,,,,,,,,
1964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002,0.52,,,,,,,0.144,,,,,,,,,,,,,,,
1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.374,-0.02,,,,,,,-0.041,,,,,,,,,,,,,,,
1966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.374,0.06,,,,,,,-0.156,,,,,,,,,,,,,,,
1967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,0.01,,,,,,,,,,,,,,,
1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.78,,,,,,,-0.652,,-0.423,,,,,,,,,,,,,
1969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,-0.13,,,,,,0,,0.74,,,,,,,,,,,,,
1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.15,,,,,,-0.182,,-0.21,,,,,,,,,,,,,
1971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.33,-0.09,,,,,,0.148,,-0.666,-0.461,,,,,,,,,,,,
1972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,-0.14,,,,,,0.053,,0.436,,,,,,,,,,,,,
1973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.3,-0.14,,,,,,-0.753,,-0.953,,,,,,,,,,,,,
1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.62,-0.462,,,,,,-0.051,,-0.313,,,,,,,,,,,,,
1975,,,,,,,,,,,,,,,,,,,,0.55,,,,,,,,,,,,,,,,,,,,,,-0.45,-0.24,,,,,,-0.475,,-1.211,,,,,,,,,,,,,
1976,,,,,-0.24,,,,,,,,,,,,,,,0.26,,,,,,,,,-0.24,,,,,,,,,,,,,-0.72,-0.4,,,,,,-0.85,,-0.832,,,,,,,,,,,,,
1977,,,,,-0.61,,,,,,,,,,,,,,,-0.83,-0.68,,,,,,,,-0.46,,,,,,,,,,,,,-1.1,-0.32,,,,,,-0.86,,-1.312,,,,,,,,,,,,,
1978,,,,,-1.17,,,,,,,,,,,,,,,-0.89,0.6,,,,,,,,-0.86,,,,,,,,,,,,,-1.48,-0.45,,,,,,-1.18,,-1.197,,,,,,,,,,,,,
1979,,,,,-0.72,,,,,,,,,,,,,,,-0.35,-0.25,,,,,,,,-0.54,,,,,-0.53,,,,,,,,-0.52,-0.36,,,,,,-0.501,,-0.497,,,,,,,,,,,,,
1980,,,,,-0.4,,,,-0.06,,,,,,,,,,,-0.7,-0.49,,,,,,,,-0.45,,,,,,,,,-0.3,,,-0.34,-0.63,-0.5,,,,,,-0.37,,-0.973,,,,,,,,,,,,,
1981,,,,,-0.48,,,,-0.15,,,,,,,,,,,-1.02,-0.98,,,,,,,,-0.48,,,,,,,,,-0.31,,,-0.65,0.11,0.15,,,,,,-0.425,,0.078,,,,,,,,,,,,,
1982,,,,,-0.24,,,,,,,,,,,,,,,0.57,0.2,-0.3,,,,,-0.34,,-0.24,,,,,,,,,-0.237,,,-0.05,-0.63,-0.21,,,,,,-0.778,,-0.688,,,,,,,,,,,,,
1983,,,,,0.02,,,,,,,,,,,,,,,0.11,0.51,0.02,,,,,-0.15,,-0.01,,,,,,,,,-0.233,,,0.1,-0.54,-0.222,,,,,,-0.906,,-0.344,,,,,,,-0.125,,,,,,
1984,,,-0.26,-0.29,-0.64,,,,,,,,,,,,,,,,-0.26,-0.85,,,,,-0.23,,-0.63,,,,,,,,,-0.157,,,-0.08,-1.25,-0.485,,0.42,,-0.035,,-1.57,,-0.744,-1.348,,,,-0.949,,-0.85,,,,,,
1985,,,,,,,,,,,,,,,,,,,,,-0.41,-0.68,,,,,-0.27,-0.778,,,,,,,,,,-0.24,,,-0.61,-0.55,-0.557,,0.11,-0.134,0.098,,-1.292,,-0.687,,,,,0.101,,-0.385,,,,,,
1986,,,,,,,,,,,,,,,,,,,,,,-0.23,,,,,-0.11,-0.945,,,,,,,,,,-0.072,,,-0.67,-0.52,-0.372,,,-0.143,,,-0.392,,-0.861,,,,,,,,,,,,,
1987,-0.232,,,,,,,,,,,,,,,,,,,,,-0.79,,,,,-0.02,-1.039,,,,,,,,,,,,,-0.18,-0.34,0.152,,,0.22,,,-0.682,-0.26,0.281,,,,,,,,,,,,,
1988,-0.261,,,,,,,,,,,,,,,,,,,,,-0.63,,,,,-0.61,-1.291,,,,,,,,,,,,,-0.64,-0.61,-0.432,-0.291,,-0.453,,,-0.456,-0.712,0.048,,,,,,,,,,,,,
1989,0.524,,,,,,,,,,,,,,,,,,,,,0.34,,,,,-0.14,-0.967,,,,,,,,,,,,,0.11,-0.46,-0.422,,,-0.167,,,-0.39,-0.354,-0.156,-0.499,,,,,,,,,,,,
