Glaciers,Himalaya,Y,X,AR,Debris_area_km2_Scherler2018,debrsi_%,RGI_id,Elev_minimum,Elev_mead,Slope,H_m_Shean2020,H_m_Farinotti
Gara,Western Himalaya,31.46,78.42,5.2,0.7,13,﻿RGI60-14.12386,4784,5209,17,59,61
Gor Garang,Western Himalaya,31.36,78.49,2.02,NO,,﻿RGI60-14.12388,5099,5204,17,,28
Shaune Garang,Western Himalaya,31.29,78.34,4.94,1,21,﻿RGI60-14.12323,4405,4831,17,69,65
Chhota Shigri,Western Himalaya,32.23,77.51,15.7,1.8,11,﻿RGI60-14.15990,4072,5011,19,,78
Nehnar,Western Himalaya,34.15,75.52,1.25,0.6,48,﻿RGI60-14.19544,3894,4226,18,,46
Hamtah,Western Himalaya,32.23,77.37,3.2,2.5,77,﻿RGI60-14.15536,﻿4044,﻿4476,13,87,80
Naradu,Western Himalaya,31.28,78.4,4.56,0.3,7,﻿RGI60-14.11566,4676,5067,18,50,45
Kolahoi,Western Himalaya,34.17,75.33,10.49,1.2,11,﻿RGI60-14.19607,3494,4427,17,76,72
Shishram,Western Himalaya,34.19,75.43,9.91,NO,,﻿RGI60-14.19561,4338,4386,22,,14
Rulung,Western Himalaya,33.1,78.44,0.95,NO,,﻿RGI60-14.15167,5674,5962,14,66,58
Patsio,Western Himalaya,32.76,77.33,2.25,0.2,10,﻿RGI60-14.14311,4875,5297,21,49,43
Siachen,Western Himalaya,35.46,77.04,1220,90.2,7,﻿RGI60-14.07524,3596,5518,20,263,235
Stok,Western Himalaya,33.98,77.45,0.74,NO,5,﻿RGI60-14.14383,5287,5520,20,,34
Bara Shigri,Western Himalaya,32.21,77.63,136.8,23.2,17,﻿RGI60-14.15447,3931,5309,13,172,143
Batal,Western Himalaya,32.35,77.59,4.9,1.3,26,﻿RGI60-14.16042,4450,5370,16,69,70
Gepang Gath,Western Himalaya,32.5,77.24,13.5,2.3,17,﻿RGI60-14.15623,3924,4391,26,79,76
Samudra Tapu,Western Himalaya,32.5,77.46,95.1,11.5,12,﻿RGI60-14.15613,4237,5254,12,138,133
Sutri Dhaka,Western Himalaya,32.36,77.52,25.2,2.3,9,﻿RGI60-14.16041,4509,5382,14,96,91
Pensilungpa,Western Himalaya,33.82,76.29,8,1.3,16,﻿RGI60-14.18909,4643,5221,12,117,110
Naimona Nyi,Central Himalaya ,30.44,81.33,7.8,NO,,﻿RGI60-15.09026,5539,6051,9,103,123
Satopanth,Central Himalaya ,30.74,79.33,19,11,58,﻿RGI60-15.07122,3900,5050,5,134,101
Tipra Bamak,Central Himalaya ,30.71,79.68,7,3.9,56,﻿RGI60-15.06557,3820,4328,18,79,62
Dunagiri,Central Himalaya ,30.55,79.89,2.5,2,82,﻿RGI60-15.06777,4240,4573,10,85,65
Dokriani,Central Himalaya ,30.85,78.81,7,0.8,12,﻿RGI60-15.07605,4021,5148,24,57,52
Chorabari,Central Himalaya ,30.76,79.05,6.6,3.5,53,﻿RGI60-15.07143,3895,5158,20,41,35
Rikha Samba,Central Himalaya ,28.81,83.49,5.37,0.4,7,﻿RGI60-15.04847,5380,5809,16,78,69
Yala,Central Himalaya ,28.24,85.62,1.7,0.5,31,﻿RGI60-15.03954,5093,5352,22,28,34
Kangwure,Central Himalaya ,28.44,85.75,1.96,0.1,6,﻿RGI60-15.10263,5710,5866,9,,50
Trakarding-Trambau,Eastern Himalaya  ,27.82,86.52,31.7,4.4,14,﻿RGI60-15.03448,4550,5708,14,158,126
AX010,Eastern Himalaya  ,27.69,86.57,0.6,NO,7,﻿RGI60-15.03507,5002,5235,15,,29
West Changri Nup,Eastern Himalaya  ,28,86.8,0.9,NO,3,﻿RGI60-15.03734,5137,5402,13,68,73
Pokalde,Eastern Himalaya  ,27.9,86.8,0.1,NO,,﻿RGI60-15.03875,5100,5245,27,,17
Mera,Eastern Himalaya  ,27.7,86.9,5.1,NO,,﻿RGI60-15.03586,4940,5615,16,,46
Changme Khangpu,Eastern Himalaya  ,27.95,88.68,5.6,1.9,34,﻿RGI60-15.02942,4829,5293,15,67,67
Gangju La,Eastern Himalaya  ,27.94,89.95,0.29,NO,,﻿RGI60-15.02291,4894,5176,15,,27
Thana,Eastern Himalaya  ,28.02,90.6,5,0.1,3,RGI60-15.02578,5071,5725,10,77,66
Urumqi Glacier No. 1,Tien Shan,43.08,86.82,,,,,,,,,
Ts. Tuyuksuyskiy,Kazakh Tien Shan,43.05,77.08,,,,,,,,,
Golubin,Northern Tien Shan,42.46,74.5,,,,,,,,,
Abramov,Pamir Alay,39.62,71.53,24,,,,,,,,
Batysh Sook,,41.785,77.749,,,,,,,,,
Glacier No. 354,,41.8,78.15,,,,,,,,,
Parlung No.4,Eastern Himalaya  ,29.247,96.93,,,,,,,,,
Hailuogou,Eastern Himalaya  ,29.558,101.969,,,,,,,,,
Qiyi,Qilian Mountains ,39.49,97.48,,,,,,,,,
